INSERT INTO Client (email,username,name,gender,sexual_orientation, bio, description, likes, state, age, birthday) VALUES ('karaAcevedo@gmail.com', 'Kara Acevedo', 'karaAcevedo', 'F', 'W', 'This is the bio', 'This is the description', 'Running, Reading, Hiking, Watching series, Acrobatics', 'Reported', 'karaAcevedoprofilePic', 30, '1963-3-19'),
('bufordCamp@gmail.com', 'Buford Camp', 'bufordCamp', 'M', 'M', 'This is the bio', 'This is the description', 'Photography, Yoga, Dancing, Listening to music, Baseball', 'Pending', 'bufordCampprofilePic', 37, '1955-9-24'),
('romanaBrooks@gmail.com', 'Romana Brooks', 'romanaBrooks', 'Other', 'W', 'This is the bio', 'This is the description', 'Watching series, Cycling, Blogging, Journaling, Listening to podcasts', 'Reported', 'romanaBrooksprofilePic', 35, '1999-6-8'),
('longHopper@gmail.com', 'Long Hopper', 'longHopper', 'M', 'W', 'This is the bio', 'This is the description', 'Blogging, Fishing, Journaling, Chess, Listening to music', 'Pending', 'longHopperprofilePic', 18, '1990-9-18'),
('kerriCarrillo@gmail.com', 'Kerri Carrillo', 'kerriCarrillo', 'F', 'B', 'This is the bio', 'This is the description', 'Reading, Car fixing, Running, Listening to podcasts, Listening to music', 'Reported', 'kerriCarrilloprofilePic', 30, '1998-9-8'),
('dwayneLane@gmail.com', 'Dwayne Lane', 'dwayneLane', 'M', 'M', 'This is the bio', 'This is the description', 'Reading, Chess, Blogging, Fishing, Watching series', 'Accepted', 'dwayneLaneprofilePic', 24, '1956-8-19'),
('laureneFord@gmail.com', 'Laurene Ford', 'laureneFord', 'F', 'W', 'This is the bio', 'This is the description', 'Hiking, Parkour, Reading, Blogging, Photography', 'Accepted', 'laureneFordprofilePic', 18, '1963-7-20'),
('marcOrtega@gmail.com', 'Marc Ortega', 'marcOrtega', 'M', 'M', 'This is the bio', 'This is the description', 'Parkour, Fishing, Cycling, Acrobatics, Reading', 'Reported', 'marcOrtegaprofilePic', 38, '1963-8-11'),
('edgarRyan@gmail.com', 'Edgar Ryan', 'edgarRyan', 'M', 'B', 'This is the bio', 'This is the description', 'Hiking, Baseball, Watching series, Chess, Journaling', 'Reported', 'edgarRyanprofilePic', 23, '1970-2-2'),
('dannielleLott@gmail.com', 'Dannielle Lott', 'dannielleLott', 'F', 'W', 'This is the bio', 'This is the description', 'Photography, Dancing, Fishing, Yoga, Reading', 'Reported', 'dannielleLottprofilePic', 19, '2000-8-1'),
('marielaCarroll@gmail.com', 'Mariela Carroll', 'marielaCarroll', 'F', 'M', 'This is the bio', 'This is the description', 'Reading, Parkour, Car fixing, Running, Yoga', 'Reported', 'marielaCarrollprofilePic', 32, '1969-3-5'),
('bentonJoseph@gmail.com', 'Benton Joseph', 'bentonJoseph', 'Other', 'W', 'This is the bio', 'This is the description', 'Acrobatics, Listening to podcasts, Knitting, Watching series, Hiking', 'Reported', 'bentonJosephprofilePic', 37, '1960-8-22'),
('joannaDrake@gmail.com', 'Joanna Drake', 'joannaDrake', 'F', 'M', 'This is the bio', 'This is the description', 'Hiking, Knitting, Baseball, Reading, Parkour', 'Accepted', 'joannaDrakeprofilePic', 18, '1967-12-2'),
('jackieWare@gmail.com', 'Jackie Ware', 'jackieWare', 'F', 'M', 'This is the bio', 'This is the description', 'Acrobatics, Watching series, Knitting, Running, Cycling', 'Accepted', 'jackieWareprofilePic', 38, '1955-7-16'),
('qianaWhite@gmail.com', 'Qiana White', 'qianaWhite', 'Other', 'M', 'This is the bio', 'This is the description', 'Baseball, Listening to music, Knitting, Watching series, Journaling', 'Pending', 'qianaWhiteprofilePic', 20, '2002-8-23'),
('mechelleNoel@gmail.com', 'Mechelle Noel', 'mechelleNoel', 'F', 'B', 'This is the bio', 'This is the description', 'Knitting, Fishing, Listening to podcasts, Yoga, Running', 'Pending', 'mechelleNoelprofilePic', 29, '1981-1-3'),
('regenaStafford@gmail.com', 'Regena Stafford', 'regenaStafford', 'F', 'W', 'This is the bio', 'This is the description', 'Hiking, Knitting, Journaling, Chess, Fishing', 'Pending', 'regenaStaffordprofilePic', 30, '1959-11-4'),
('ivetteSnow@gmail.com', 'Ivette Snow', 'ivetteSnow', 'Other', 'M', 'This is the bio', 'This is the description', 'Dancing, Journaling, Baseball, Photography, Acrobatics', 'Pending', 'ivetteSnowprofilePic', 25, '1972-4-27'),
('ginoVang@gmail.com', 'Gino Vang', 'ginoVang', 'Other', 'M', 'This is the bio', 'This is the description', 'Watching series, Running, Bowling, Car fixing, Fishing', 'Reported', 'ginoVangprofilePic', 19, '1980-9-2'),
('sarinaHensley@gmail.com', 'Sarina Hensley', 'sarinaHensley', 'Other', 'B', 'This is the bio', 'This is the description', 'Paintball, Running, Cycling, Photography, Listening to music', 'Pending', 'sarinaHensleyprofilePic', 34, '1959-11-15'),
('hiramDeleon@gmail.com', 'Hiram Deleon', 'hiramDeleon', 'Other', 'W', 'This is the bio', 'This is the description', 'Photography, Cycling, Baseball, Car fixing, Chess', 'Pending', 'hiramDeleonprofilePic', 36, '1995-10-3'),
('alanRoth@gmail.com', 'Alan Roth', 'alanRoth', 'M', 'B', 'This is the bio', 'This is the description', 'Listening to podcasts, Knitting, Dancing, Yoga, Car fixing', 'Reported', 'alanRothprofilePic', 23, '1990-5-3'),
('louisCovington@gmail.com', 'Louis Covington', 'louisCovington', 'M', 'M', 'This is the bio', 'This is the description', 'Listening to music, Watching movies, Journaling, Paintball, Yoga', 'Pending', 'louisCovingtonprofilePic', 39, '1977-2-26'),
('pamellaRich@gmail.com', 'Pamella Rich', 'pamellaRich', 'Other', 'W', 'This is the bio', 'This is the description', 'Watching movies, Chess, Acrobatics, Journaling, Listening to music', 'Pending', 'pamellaRichprofilePic', 38, '1981-5-6'),
('roryChristensen@gmail.com', 'Rory Christensen', 'roryChristensen', 'M', 'M', 'This is the bio', 'This is the description', 'Bowling, Watching series, Journaling, Hiking, Paintball', 'Reported', 'roryChristensenprofilePic', 23, '1974-5-25'),
('oswaldoLawson@gmail.com', 'Oswaldo Lawson', 'oswaldoLawson', 'M', 'W', 'This is the bio', 'This is the description', 'Fishing, Hiking, Acrobatics, Dancing, Watching series', 'Pending', 'oswaldoLawsonprofilePic', 36, '1959-3-5'),
('audieCabrera@gmail.com', 'Audie Cabrera', 'audieCabrera', 'Other', 'B', 'This is the bio', 'This is the description', 'Car fixing, Blogging, Acrobatics, Fishing, Listening to podcasts', 'Pending', 'audieCabreraprofilePic', 35, '1979-12-14'),
('bertMills@gmail.com', 'Bert Mills', 'bertMills', 'Other', 'W', 'This is the bio', 'This is the description', 'Chess, Fishing, Listening to podcasts, Watching movies, Listening to music', 'Pending', 'bertMillsprofilePic', 28, '1990-7-1'),
('susanneHarmon@gmail.com', 'Susanne Harmon', 'susanneHarmon', 'F', 'B', 'This is the bio', 'This is the description', 'Knitting, Yoga, Fishing, Blogging, Baseball', 'Accepted', 'susanneHarmonprofilePic', 31, '1997-11-15'),
('ianChambers@gmail.com', 'Ian Chambers', 'ianChambers', 'M', 'W', 'This is the bio', 'This is the description', 'Chess, Knitting, Acrobatics, Running, Reading', 'Pending', 'ianChambersprofilePic', 22, '1983-9-7'),
('leisaFrench@gmail.com', 'Leisa French', 'leisaFrench', 'F', 'B', 'This is the bio', 'This is the description', 'Running, Parkour, Blogging, Photography, Watching movies', 'Pending', 'leisaFrenchprofilePic', 31, '1979-12-24'),
('serenaKing@gmail.com', 'Serena King', 'serenaKing', 'Other', 'M', 'This is the bio', 'This is the description', 'Acrobatics, Dancing, Bowling, Watching movies, Cycling', 'Pending', 'serenaKingprofilePic', 28, '1953-4-27'),
('margretGrimes@gmail.com', 'Margret Grimes', 'margretGrimes', 'F', 'B', 'This is the bio', 'This is the description', 'Fishing, Listening to podcasts, Watching movies, Parkour, Cycling', 'Reported', 'margretGrimesprofilePic', 22, '1981-8-3'),
('burlEngland@gmail.com', 'Burl England', 'burlEngland', 'M', 'W', 'This is the bio', 'This is the description', 'Dancing, Acrobatics, Listening to podcasts, Car fixing, Blogging', 'Accepted', 'burlEnglandprofilePic', 40, '1956-12-14'),
('nievesGibson@gmail.com', 'Nieves Gibson', 'nievesGibson', 'Other', 'W', 'This is the bio', 'This is the description', 'Parkour, Blogging, Cycling, Knitting, Acrobatics', 'Reported', 'nievesGibsonprofilePic', 29, '1955-8-23'),
('zachariahDyer@gmail.com', 'Zachariah Dyer', 'zachariahDyer', 'M', 'B', 'This is the bio', 'This is the description', 'Fishing, Photography, Paintball, Journaling, Hiking', 'Accepted', 'zachariahDyerprofilePic', 21, '1974-5-5'),
('irmgardBoone@gmail.com', 'Irmgard Boone', 'irmgardBoone', 'Other', 'M', 'This is the bio', 'This is the description', 'Acrobatics, Journaling, Running, Fishing, Parkour', 'Pending', 'irmgardBooneprofilePic', 27, '1966-11-22'),
('muiHoward@gmail.com', 'Mui Howard', 'muiHoward', 'F', 'M', 'This is the bio', 'This is the description', 'Photography, Car fixing, Blogging, Watching series, Parkour', 'Accepted', 'muiHowardprofilePic', 40, '1963-11-26'),
('freidaVance@gmail.com', 'Freida Vance', 'freidaVance', 'F', 'B', 'This is the bio', 'This is the description', 'Running, Cycling, Blogging, Listening to podcasts, Acrobatics', 'Accepted', 'freidaVanceprofilePic', 39, '1997-4-23'),
('johnnyLake@gmail.com', 'Johnny Lake', 'johnnyLake', 'F', 'B', 'This is the bio', 'This is the description', 'Hiking, Photography, Blogging, Acrobatics, Running', 'Accepted', 'johnnyLakeprofilePic', 18, '1960-12-15'),
('rogerDelgado@gmail.com', 'Roger Delgado', 'rogerDelgado', 'M', 'M', 'This is the bio', 'This is the description', 'Cycling, Listening to music, Yoga, Journaling, Photography', 'Accepted', 'rogerDelgadoprofilePic', 35, '1973-6-24'),
('christianCochran@gmail.com', 'Christian Cochran', 'christianCochran', 'M', 'M', 'This is the bio', 'This is the description', 'Chess, Hiking, Cycling, Listening to podcasts, Listening to music', 'Accepted', 'christianCochranprofilePic', 39, '1974-9-22'),
('nickyRandall@gmail.com', 'Nicky Randall', 'nickyRandall', 'Other', 'M', 'This is the bio', 'This is the description', 'Running, Photography, Acrobatics, Listening to podcasts, Chess', 'Accepted', 'nickyRandallprofilePic', 28, '1957-6-20'),
('silasStanton@gmail.com', 'Silas Stanton', 'silasStanton', 'M', 'W', 'This is the bio', 'This is the description', 'Watching movies, Fishing, Listening to music, Car fixing, Cycling', 'Accepted', 'silasStantonprofilePic', 27, '1999-9-2'),
('mattieHolman@gmail.com', 'Mattie Holman', 'mattieHolman', 'Other', 'B', 'This is the bio', 'This is the description', 'Dancing, Watching series, Yoga, Car fixing, Blogging', 'Pending', 'mattieHolmanprofilePic', 32, '1997-7-20'),
('edelmiraBass@gmail.com', 'Edelmira Bass', 'edelmiraBass', 'F', 'W', 'This is the bio', 'This is the description', 'Journaling, Parkour, Listening to podcasts, Chess, Baseball', 'Reported', 'edelmiraBassprofilePic', 28, '1984-4-1'),
('caseySpencer@gmail.com', 'Casey Spencer', 'caseySpencer', 'Other', 'M', 'This is the bio', 'This is the description', 'Baseball, Fishing, Reading, Dancing, Listening to music', 'Reported', 'caseySpencerprofilePic', 37, '1970-3-28'),
('annemarieHenson@gmail.com', 'Annemarie Henson', 'annemarieHenson', 'Other', 'M', 'This is the bio', 'This is the description', 'Cycling, Fishing, Bowling, Journaling, Parkour', 'Reported', 'annemarieHensonprofilePic', 33, '1980-6-14'),
('arlenTerry@gmail.com', 'Arlen Terry', 'arlenTerry', 'Other', 'M', 'This is the bio', 'This is the description', 'Baseball, Dancing, Listening to music, Cycling, Photography', 'Reported', 'arlenTerryprofilePic', 19, '1977-1-5'),
('rileyJackson@gmail.com', 'Riley Jackson', 'rileyJackson', 'Other', 'B', 'This is the bio', 'This is the description', 'Journaling, Listening to podcasts, Chess, Photography, Car fixing', 'Reported', 'rileyJacksonprofilePic', 19, '1995-5-15'),
('warrenBoucher@gmail.com', 'Warren Boucher', 'warrenBoucher', 'Other', 'M', 'This is the bio', 'This is the description', 'Dancing, Blogging, Fishing, Watching movies, Paintball', 'Reported', 'warrenBoucherprofilePic', 28, '1997-5-2'),
('gabrielaDudley@gmail.com', 'Gabriela Dudley', 'gabrielaDudley', 'F', 'M', 'This is the bio', 'This is the description', 'Running, Car fixing, Chess, Watching series, Dancing', 'Accepted', 'gabrielaDudleyprofilePic', 28, '1968-5-2'),
('adellaRhodes@gmail.com', 'Adella Rhodes', 'adellaRhodes', 'Other', 'M', 'This is the bio', 'This is the description', 'Watching movies, Hiking, Watching series, Parkour, Running', 'Pending', 'adellaRhodesprofilePic', 38, '1963-7-16'),
('erasmoMills@gmail.com', 'Erasmo Mills', 'erasmoMills', 'Other', 'B', 'This is the bio', 'This is the description', 'Parkour, Cycling, Blogging, Running, Watching series', 'Accepted', 'erasmoMillsprofilePic', 25, '1984-11-13'),
('royceAtkinson@gmail.com', 'Royce Atkinson', 'royceAtkinson', 'Other', 'W', 'This is the bio', 'This is the description', 'Watching series, Listening to music, Watching movies, Paintball, Cycling', 'Accepted', 'royceAtkinsonprofilePic', 21, '1986-1-24'),
('teriVelasquez@gmail.com', 'Teri Velasquez', 'teriVelasquez', 'Other', 'M', 'This is the bio', 'This is the description', 'Parkour, Watching movies, Yoga, Photography, Hiking', 'Accepted', 'teriVelasquezprofilePic', 35, '2003-6-9'),
('luisaKoch@gmail.com', 'Luisa Koch', 'luisaKoch', 'F', 'W', 'This is the bio', 'This is the description', 'Photography, Blogging, Knitting, Reading, Hiking', 'Pending', 'luisaKochprofilePic', 33, '1961-6-10'),
('dahliaGay@gmail.com', 'Dahlia Gay', 'dahliaGay', 'F', 'M', 'This is the bio', 'This is the description', 'Dancing, Baseball, Bowling, Knitting, Paintball', 'Reported', 'dahliaGayprofilePic', 24, '1952-2-20'),
('raymundoBenjamin@gmail.com', 'Raymundo Benjamin', 'raymundoBenjamin', 'M', 'W', 'This is the bio', 'This is the description', 'Knitting, Acrobatics, Journaling, Dancing, Hiking', 'Accepted', 'raymundoBenjaminprofilePic', 23, '1965-4-2'),
('cliffordRiley@gmail.com', 'Clifford Riley', 'cliffordRiley', 'M', 'B', 'This is the bio', 'This is the description', 'Blogging, Knitting, Chess, Fishing, Listening to music', 'Reported', 'cliffordRileyprofilePic', 33, '1985-3-12'),
('holleyRusso@gmail.com', 'Holley Russo', 'holleyRusso', 'Other', 'M', 'This is the bio', 'This is the description', 'Baseball, Yoga, Dancing, Photography, Knitting', 'Accepted', 'holleyRussoprofilePic', 33, '1986-4-22'),
('heatherSweeney@gmail.com', 'Heather Sweeney', 'heatherSweeney', 'F', 'B', 'This is the bio', 'This is the description', 'Dancing, Knitting, Chess, Parkour, Bowling', 'Accepted', 'heatherSweeneyprofilePic', 35, '1987-9-2'),
('feliceLeach@gmail.com', 'Felice Leach', 'feliceLeach', 'F', 'W', 'This is the bio', 'This is the description', 'Listening to podcasts, Acrobatics, Paintball, Cycling, Listening to music', 'Reported', 'feliceLeachprofilePic', 21, '1970-3-25'),
('melvinPark@gmail.com', 'Melvin Park', 'melvinPark', 'Other', 'M', 'This is the bio', 'This is the description', 'Yoga, Hiking, Knitting, Listening to music, Watching series', 'Reported', 'melvinParkprofilePic', 26, '1973-9-9'),
('shirleeMadden@gmail.com', 'Shirlee Madden', 'shirleeMadden', 'Other', 'M', 'This is the bio', 'This is the description', 'Photography, Hiking, Watching movies, Blogging, Baseball', 'Reported', 'shirleeMaddenprofilePic', 25, '1996-4-7'),
('linnieWatkins@gmail.com', 'Linnie Watkins', 'linnieWatkins', 'F', 'W', 'This is the bio', 'This is the description', 'Baseball, Fishing, Acrobatics, Paintball, Cycling', 'Pending', 'linnieWatkinsprofilePic', 34, '1988-12-8'),
('dianePerez@gmail.com', 'Diane Perez', 'dianePerez', 'F', 'M', 'This is the bio', 'This is the description', 'Acrobatics, Baseball, Blogging, Running, Cycling', 'Reported', 'dianePerezprofilePic', 26, '1982-10-26'),
('dorineCurry@gmail.com', 'Dorine Curry', 'dorineCurry', 'F', 'M', 'This is the bio', 'This is the description', 'Journaling, Blogging, Dancing, Yoga, Acrobatics', 'Pending', 'dorineCurryprofilePic', 18, '1999-5-27'),
('garfieldMccullough@gmail.com', 'Garfield Mccullough', 'garfieldMccullough', 'M', 'M', 'This is the bio', 'This is the description', 'Journaling, Yoga, Watching movies, Parkour, Reading', 'Accepted', 'garfieldMcculloughprofilePic', 24, '1955-4-11'),
('natashaSchwartz@gmail.com', 'Natasha Schwartz', 'natashaSchwartz', 'F', 'M', 'This is the bio', 'This is the description', 'Paintball, Bowling, Blogging, Journaling, Photography', 'Accepted', 'natashaSchwartzprofilePic', 34, '1980-3-21'),
('mozellSummers@gmail.com', 'Mozell Summers', 'mozellSummers', 'F', 'W', 'This is the bio', 'This is the description', 'Photography, Dancing, Blogging, Cycling, Running', 'Pending', 'mozellSummersprofilePic', 20, '2003-8-12'),
('deloisCarrillo@gmail.com', 'Delois Carrillo', 'deloisCarrillo', 'F', 'M', 'This is the bio', 'This is the description', 'Yoga, Fishing, Car fixing, Baseball, Chess', 'Reported', 'deloisCarrilloprofilePic', 22, '1972-8-19'),
('hueyNoble@gmail.com', 'Huey Noble', 'hueyNoble', 'M', 'W', 'This is the bio', 'This is the description', 'Chess, Baseball, Bowling, Listening to music, Dancing', 'Pending', 'hueyNobleprofilePic', 22, '1965-2-9'),
('mickiTrujillo@gmail.com', 'Micki Trujillo', 'mickiTrujillo', 'F', 'W', 'This is the bio', 'This is the description', 'Knitting, Acrobatics, Listening to podcasts, Listening to music, Watching series', 'Reported', 'mickiTrujilloprofilePic', 28, '1958-3-28'),
('ingaHodges@gmail.com', 'Inga Hodges', 'ingaHodges', 'F', 'B', 'This is the bio', 'This is the description', 'Watching movies, Photography, Bowling, Cycling, Watching series', 'Reported', 'ingaHodgesprofilePic', 39, '1996-12-21'),
('jamieLe@gmail.com', 'Jamie Le', 'jamieLe', 'Other', 'M', 'This is the bio', 'This is the description', 'Watching movies, Journaling, Photography, Bowling, Car fixing', 'Accepted', 'jamieLeprofilePic', 40, '1993-10-12'),
('shondaMackey@gmail.com', 'Shonda Mackey', 'shondaMackey', 'F', 'W', 'This is the bio', 'This is the description', 'Acrobatics, Knitting, Listening to podcasts, Listening to music, Reading', 'Pending', 'shondaMackeyprofilePic', 36, '1990-9-27'),
('jefferyMcguire@gmail.com', 'Jeffery Mcguire', 'jefferyMcguire', 'Other', 'M', 'This is the bio', 'This is the description', 'Knitting, Watching movies, Bowling, Journaling, Reading', 'Accepted', 'jefferyMcguireprofilePic', 28, '1978-9-20'),
('boydLeonard@gmail.com', 'Boyd Leonard', 'boydLeonard', 'M', 'W', 'This is the bio', 'This is the description', 'Watching series, Paintball, Cycling, Watching movies, Photography', 'Accepted', 'boydLeonardprofilePic', 23, '1987-5-23'),
('edwinGill@gmail.com', 'Edwin Gill', 'edwinGill', 'Other', 'M', 'This is the bio', 'This is the description', 'Fishing, Parkour, Blogging, Hiking, Knitting', 'Pending', 'edwinGillprofilePic', 32, '2004-9-7'),
('carmeloStanton@gmail.com', 'Carmelo Stanton', 'carmeloStanton', 'M', 'W', 'This is the bio', 'This is the description', 'Reading, Baseball, Watching series, Fishing, Hiking', 'Pending', 'carmeloStantonprofilePic', 38, '1954-1-10'),
('garyGibson@gmail.com', 'Gary Gibson', 'garyGibson', 'M', 'M', 'This is the bio', 'This is the description', 'Listening to podcasts, Fishing, Chess, Paintball, Yoga', 'Accepted', 'garyGibsonprofilePic', 22, '1973-8-8'),
('eliasWeber@gmail.com', 'Elias Weber', 'eliasWeber', 'M', 'M', 'This is the bio', 'This is the description', 'Listening to music, Watching movies, Fishing, Acrobatics, Dancing', 'Reported', 'eliasWeberprofilePic', 38, '1994-1-25'),
('jinLane@gmail.com', 'Jin Lane', 'jinLane', 'F', 'B', 'This is the bio', 'This is the description', 'Baseball, Watching movies, Listening to podcasts, Journaling, Parkour', 'Reported', 'jinLaneprofilePic', 38, '1982-4-10'),
